Date,THREATS_GPR_AI,ACTS_GPR_AI,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
2020-06-10,57.44,51.48,56.77,57.63,75.0,55.57,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,72.04,44.72,61.15,44.18,0.0,65.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,83.45,39.81,66.44,29.71,0.0,70.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,47.72,28.95,40.99,60.78,0.0,43.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,19.05,22.53,21.27,31.54,54.72,19.08,54.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,50.83,25.05,39.83,23.38,0.0,42.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,34.45,65.09,50.61,63.37,0.0,53.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-17,55.3,96.06,80.47,72.67,75.65,80.79,75.65,75.65,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,65.07,59.22,58.83,96.69,0.0,62.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,89.45,80.63,81.1,56.42,0.0,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,84.87,57.05,83.88,85.17,0.0,89.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,55.59,30.23,45.06,52.89,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,79.5,93.3,84.54,83.57,108.75,82.95,108.75,108.75,0.0,0.0,108.75,0.0,0.0,0.0
2020-06-23,99.06,47.44,78.17,46.86,81.31,77.97,0.0,81.31,0.0,0.0,81.31,0.0,0.0,0.0
2020-06-24,61.86,40.66,51.5,56.9,148.09,45.18,148.09,74.04,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-25,41.24,35.57,40.9,28.45,0.0,43.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,67.3,79.62,75.93,59.43,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-27,71.26,78.06,65.14,21.85,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,58.24,40.19,54.76,32.14,55.77,54.69,55.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,80.22,79.09,68.36,88.55,0.0,72.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,147.87,140.17,133.69,109.86,163.38,131.74,81.69,81.69,0.0,0.0,0.0,0.0,81.69,0.0
2020-07-01,127.25,153.05,136.09,98.32,73.11,140.21,73.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,94.96,129.04,111.61,28.33,0.0,118.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,96.91,119.43,92.54,66.85,87.0,92.91,87.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0
2020-07-04,81.62,105.88,78.26,71.12,0.0,83.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,74.95,63.91,64.28,44.72,116.39,60.88,116.39,0.0,0.0,0.0,0.0,0.0,58.19,0.0
2020-07-06,64.44,33.88,58.06,23.71,0.0,61.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,53.97,62.08,68.72,49.64,0.0,73.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,95.25,40.93,73.2,40.44,0.0,77.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,62.39,35.88,53.47,86.08,0.0,56.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,88.15,22.43,55.15,15.69,0.0,58.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
