symbol,period_q,assets,cfo,current_liab,liabilities,year,q,pidx,avg_assets,cfo_assets,leverage,log_assets,liab_ratio,HL67,Threat,Acts,Threat_z,Acts_z
VDS,2023Q2,4481222647429.0,-125305052812.0,2097670643223.0,2233216643549.0,2023,2,8094,4228821129594.5,-0.029631201928849483,0.49834985209455224,29.13091703749418,0.468102303380639,1,118.70505494505494,131.87516483516484,-0.17598525640380488,-0.2207384034890774
VDS,2023Q3,5160932967761.0,-754010208254.0,2731506589731.0,2826051070753.0,2023,3,8095,4821077807595.0,-0.15639868061580586,0.5475853083941611,29.272138486783895,0.5292660468163427,1,114.28793478260869,123.60293478260868,-0.28596347274709677,-0.3630662185408366
VDS,2023Q4,5289740735125.0,455398379139.0,2840082840366.0,2897921457431.0,2023,4,8096,5225336851443.0,0.08715196590880829,0.5478380893392727,29.296790350224363,0.5369039774496409,1,178.45260869565217,264.0373913043478,1.3116195971455236,2.053178159061321
VDS,2024Q1,5633503160621.0,-59916766797.0,3006440964544.0,3073662612510.0,2024,1,8097,5461621947873.0,-0.0109705079130082,0.5456041338532204,29.35975259559086,0.5336716566628481,1,152.9297802197802,187.75604395604395,0.6761478307950123,0.7407197979772323
VDS,2024Q2,6048629391321.0,-491802309980.0,3360690383204.0,3395196153215.0,2024,2,8098,5841066275971.0,-0.08419735143276462,0.5613166113444918,29.430852815416586,0.5556118858970192,1,156.58549450549452,180.94131868131868,0.7671684328655007,0.6234690744882334
VDS,2024Q3,6093870425777.0,-363253062739.0,3208974881904.0,3250194898367.0,2024,3,8099,6071249908549.0,-0.05983167687225311,0.5333547764026478,29.43830453367609,0.5265905996835892,1,131.34565217391304,182.04402173913041,0.13874250413188957,0.6424416267349812
VDS,2024Q4,6394987747825.0,400595692345.0,3554384999814.0,3587377224142.0,2024,4,8100,6244429086801.0,0.06415249285026693,0.560967020673668,29.486535635058377,0.5558079452181722,1,148.305,181.28608695652173,0.5609992586833852,0.6294009834169088
VDS,2025Q1,6348196110824.0,-553201398548.0,3470862854245.0,3502234864743.0,2025,1,8101,6371591929324.5,-0.08682310554163958,0.551689771960811,29.479191811440035,0.5467478939925944,1,204.67611111111108,158.13688888888888,1.9645368635684903,0.23110756553154763
VDS,2025Q2,6856334146952.0,977015279251.0,4001526230572.0,4022130711905.0,2025,2,8102,6602265128888.0,0.1479818305048219,0.5866299141346616,29.556194033923187,0.5836247395192792,1,208.58879120879124,175.05054945054945,2.061955444553267,0.5221154723443423
VDS,2025Q3,7732966527561.0,-1214198760707.0,4522612518725.0,4578708861227.0,2025,3,8103,7294650337256.5,-0.16645057741913058,0.5921025061867348,29.676513673026875,0.5848483247154886,1,154.99913043478261,157.58869565217393,0.7276708678114048,0.22167562938952975
VDS,2025Q4,8121452969623.0,-59940474075.0,4998480395596.0,5022323459557.0,2025,4,8104,7927209748592.0,-0.00756135840680214,0.6184020862205568,29.725530191240484,0.6154662736202523,1,154.22652173913045,160.03815217391303,0.7084343238292993,0.26381974199138886
VE1,2020Q1,42067584201.0,-1374889242.0,2098661768.0,2098661768.0,2020,1,8081,42661275632.0,-0.03222803869860616,0.0498878604003629,24.46254330958178,0.0498878604003629,0,111.37593406593406,96.85527472527473,-0.35846696665995,-0.8232729571736912
VE1,2020Q2,35986494495.0,-2004850271.0,1637956814.0,1637956814.0,2020,2,8082,39027039348.0,-0.05137080097526644,0.04551587580245082,24.306409552098394,0.04551587580245082,0,62.00758241758241,46.14659340659341,-1.5876486638785376,-1.6957409338124345
VE1,2020Q3,36104218411.0,-1620388469.0,1683859428.0,1683859428.0,2020,3,8083,36045356453.0,-0.04495415300200582,0.046638855571707175,24.309675548948714,0.046638855571707175,0,79.62728260869565,67.83565217391305,-1.1489503427423007,-1.3225699357539455
VE1,2020Q4,35626622213.0,-679879199.0,1726280461.0,1726280461.0,2020,4,8084,35865420312.0,-0.018956398477575437,0.04845478896874169,24.296359010302012,0.04845478896874169,0,67.58434782608695,61.38478260869565,-1.4487974010565108,-1.4335603415535976
VE1,2021Q1,34526503441.0,-1434577751.0,923072365.0,923072365.0,2021,1,8085,35076562827.0,-0.04089846995771608,0.02673518233832672,24.264993081738254,0.02673518233832672,0,79.96711111111111,70.47822222222223,-1.1404892343314383,-1.277103209283875
VE1,2021Q2,35883882087.0,-1254580489.0,1145812888.0,1145812888.0,2021,2,8086,35205192764.0,-0.03563623404678257,0.03193112955900345,24.30355406468888,0.03193112955900345,0,77.50791208791209,80.25483516483517,-1.2017187939218685,-1.1088917415311286
