symbol,report,period_q,item_id,value
ADC,balance_sheet,2021Q3,BS_TOTAL_ASSETS,147288891333.0
ADC,balance_sheet,2021Q3,BS_TOTAL_LIABILITIES,85980298266.0
ADC,balance_sheet,2021Q3,BS_SHORT_TERM_LIABILITIES,85980298266.0
ADC,balance_sheet,2021Q2,BS_TOTAL_ASSETS,117988957203.0
ADC,balance_sheet,2021Q2,BS_TOTAL_LIABILITIES,57962280597.0
ADC,balance_sheet,2021Q2,BS_SHORT_TERM_LIABILITIES,57962280597.0
ADC,balance_sheet,2021Q1,BS_TOTAL_ASSETS,120260018124.0
ADC,balance_sheet,2021Q1,BS_TOTAL_LIABILITIES,57210795839.0
ADC,balance_sheet,2021Q1,BS_SHORT_TERM_LIABILITIES,57210795839.0
ADC,balance_sheet,2020Q4,BS_TOTAL_ASSETS,137972937571.0
ADC,balance_sheet,2020Q4,BS_TOTAL_LIABILITIES,74373058548.0
ADC,balance_sheet,2020Q4,BS_SHORT_TERM_LIABILITIES,74373058548.0
ADC,balance_sheet,2020Q3,BS_TOTAL_ASSETS,166711574424.0
ADC,balance_sheet,2020Q3,BS_TOTAL_LIABILITIES,108720275041.0
ADC,balance_sheet,2020Q3,BS_SHORT_TERM_LIABILITIES,108720275041.0
ADC,balance_sheet,2020Q2,BS_TOTAL_ASSETS,119573335535.0
ADC,balance_sheet,2020Q2,BS_TOTAL_LIABILITIES,65396861927.0
ADC,balance_sheet,2020Q2,BS_SHORT_TERM_LIABILITIES,65396861927.0
ADC,balance_sheet,2020Q1,BS_TOTAL_ASSETS,107996129634.0
ADC,balance_sheet,2020Q1,BS_TOTAL_LIABILITIES,50696796873.0
ADC,balance_sheet,2020Q1,BS_SHORT_TERM_LIABILITIES,50696796873.0
ADC,balance_sheet,2019Q4,BS_TOTAL_ASSETS,129325005331.0
ADC,balance_sheet,2019Q4,BS_TOTAL_LIABILITIES,71762901615.0
ADC,balance_sheet,2019Q4,BS_SHORT_TERM_LIABILITIES,71762901615.0
ADC,balance_sheet,2019Q3,BS_TOTAL_ASSETS,143888652986.0
ADC,balance_sheet,2019Q3,BS_TOTAL_LIABILITIES,89633622011.0
ADC,balance_sheet,2019Q3,BS_SHORT_TERM_LIABILITIES,89633622011.0
ADC,balance_sheet,2019Q2,BS_TOTAL_ASSETS,106629289849.0
ADC,balance_sheet,2019Q2,BS_TOTAL_LIABILITIES,56522784273.0
ADC,balance_sheet,2019Q2,BS_SHORT_TERM_LIABILITIES,56522784273.0
ADC,balance_sheet,2019Q1,BS_TOTAL_ASSETS,116006657834.0
ADC,balance_sheet,2019Q1,BS_TOTAL_LIABILITIES,63024379631.0
ADC,balance_sheet,2019Q1,BS_SHORT_TERM_LIABILITIES,63024379631.0
ADC,balance_sheet,2018Q4,BS_TOTAL_ASSETS,119254406671.0
ADC,balance_sheet,2018Q4,BS_TOTAL_LIABILITIES,66165583916.0
ADC,balance_sheet,2018Q4,BS_SHORT_TERM_LIABILITIES,66165583916.0
ADC,balance_sheet,2018Q3,BS_TOTAL_ASSETS,147697176310.0
ADC,balance_sheet,2018Q3,BS_TOTAL_LIABILITIES,97751559133.0
