symbol,pre_quarters,baseline_liab_ratio,HL67
NTH,4,0.11696380615462466,0
NTL,8,0.30813482061860065,0
NTP,8,0.4277001124914743,0
NVL,8,0.39208825898280864,0
NVT,8,0.1461560230195886,0
OCH,8,0.4457668952894162,0
OGC,8,0.4968196151149564,1
ONE,8,0.6759351186285895,1
OPC,8,0.4443741582301698,0
PAC,8,0.6891715571458072,1
PBP,8,0.4493901252959253,0
PC1,8,0.3154613024347526,0
PCE,8,0.37456758047748645,0
PCT,8,0.09569053706170269,0
PDB,8,0.4300274902815515,0
PDN,8,0.2483262276613386,0
PDR,8,0.12433754728462972,0
PEN,8,0.71714479884052,1
PET,8,0.623202455194465,1
PGC,8,0.5279252857684773,1
PGD,8,0.5403772270291559,1
PGI,8,0.7264255410877667,1
PGN,6,0.49780391994655204,1
PGS,8,0.5284767851047585,1
PGT,8,0.3286951093655428,0
PHC,8,0.7545056125214455,1
PHN,7,0.2776634558918824,0
PHR,8,0.1372913336171415,0
PIA,7,0.3536618239819983,0
PIC,8,0.07042048194792239,0
PIT,8,0.7208554650426297,1
PJC,8,0.4755926067775994,1
PJT,8,0.18276954625302622,0
PLC,8,0.6822716640642248,1
PLP,8,0.47611668333956664,1
PLX,8,0.5691984480889878,1
PMB,8,0.2692090000854856,0
PMC,8,0.13279666230781234,0
PMG,8,0.4704565544942426,0
PMP,8,0.6547044053139497,1
PMS,8,0.5387888587554717,1
PNC,8,0.6344733779915789,1
PNJ,8,0.37466478523181124,0
POT,8,0.42203183285609736,0
POW,8,0.31322757922455846,0
PPC,8,0.1850478207964565,0
PPE,8,0.38145732395524423,0
PPP,8,0.25279091364128126,0
PPS,8,0.940825285283696,1
PPY,8,0.49188628921117195,1
PRC,8,0.4162033706898216,0
PSC,8,0.28612324922687526,0
PSD,8,0.8446729370117174,1
PSE,8,0.40100979443647683,0
PSI,8,0.06522151173578447,0
PSW,8,0.2800037037814912,0
PTB,8,0.48973465034332064,1
PTC,8,0.1979805834067231,0
PTD,8,0.7275978053336842,1
PTI,8,0.7116766604164602,1
PTL,8,0.3086829185752753,0
PTS,8,0.31031128255253,0
PV2,8,0.06776845154314509,0
PVB,8,0.09550457159200379,0
PVC,8,0.514046163506322,1
PVD,8,0.1322230574626386,0
PVG,8,0.6463615272352776,1
PVI,8,0.6691173634718055,1
PVS,8,0.3242650442051431,0
PVT,8,0.22690864298986108,0
QCG,8,0.5865689035704346,1
QHD,8,0.40749712128135296,0
QST,8,0.5957314445448018,1
QTC,8,0.4479395641498817,0
RAL,8,0.6998194362275983,1
RCL,8,0.592342075295367,1
REE,8,0.17972457248965293,0
S4A,8,0.08059124032670868,0
S55,8,0.2429290341430188,0
S99,8,0.4000324155688474,0
SAB,8,0.22674983638998153,0
SAF,8,0.38485532502659003,0
SAM,8,0.30354488654450795,0
SAV,8,0.4750157235137197,1
SBA,8,0.08782275057774946,0
SBT,8,0.4915993759701157,1
SBV,8,0.2611852941901094,0
SC5,8,0.7657142738195657,1
SCI,8,0.7777019119212877,1
SCR,8,0.4719276175863493,0
SCS,8,0.06581654667539999,0
SD5,8,0.6218364008087904,1
SD9,8,0.47901749308879915,1
SDC,8,0.4508104421490222,0
SDG,8,0.44446833364148874,0
SDN,8,0.4368532752104016,0
SDU,8,0.622895174657127,1
SEB,8,0.09931641750278797,0
SED,8,0.44359393149451165,0
SFC,8,0.36866892567594034,0
SFG,8,0.5473549084159137,1
SFI,8,0.27205617324479103,0
SFN,8,0.10920229875583085,0
SGC,8,0.31004390579692975,0
SGD,8,0.4494593796937695,0
SGH,8,0.055562265524593174,0
SGN,8,0.26227936184616396,0
SGR,8,0.5397074894004004,1
SGT,8,0.3289500519909655,0
SHA,8,0.5169979105894524,1
SHE,7,0.253775163816818,0
SHI,8,0.6142765927816993,1
SHN,8,0.5431186540436451,1
