symbol,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
TFC,0,0,0,0,0
THB,1,0,0,0,0
THG,1,0,0,0,1
THS,1,1,1,1,1
THT,1,0,0,1,1
TIG,0,0,0,0,0
TIP,0,0,0,0,0
TIX,0,0,0,0,0
TJC,0,0,0,0,0
TKU,0,0,0,0,0
TLD,0,0,0,0,0
TLG,0,0,0,0,0
TLH,1,0,1,1,0
TMB,1,0,1,1,0
TMC,0,0,0,0,0
TMP,0,0,0,0,0
TMS,0,0,0,0,0
TMT,1,0,1,1,0
TMX,0,0,0,0,0
TN1,0,0,0,0,0
TNC,0,0,0,0,0
TNG,1,0,1,0,1
TNI,0,1,0,0,0
TNT,0,0,0,0,0
TPB,0,0,0,0,0
TPC,1,0,1,1,1
TPP,1,0,0,0,1
TRA,0,0,0,0,0
TRC,0,0,0,0,0
TSB,0,0,0,0,0
TSC,0,0,0,0,0
TTC,1,0,1,0,0
TTE,0,0,0,0,0
TTF,1,0,1,0,0
TTH,0,0,0,0,0
TTL,1,0,0,1,0
TTT,0,0,0,0,0
TV2,1,0,0,0,0
TV3,1,0,0,0,0
TV4,0,0,0,0,0
TVC,1,0,1,0,0
TVD,0,0,0,0,0
TVS,1,0,0,0,0
TVT,1,0,0,0,1
TXM,0,0,0,0,0
TYA,1,0,0,1,0
UIC,0,0,0,0,0
UNI,0,0,0,0,0
V12,1,0,1,1,0
V21,1,1,1,1,0
VBC,1,0,0,1,0
VC1,1,1,1,1,0
VC2,1,1,1,0,0
VC3,0,0,0,0,0
VC6,1,0,1,1,0
VC7,0,0,0,0,0
VC9,1,1,1,1,0
VCB,0,0,0,0,0
VCC,1,0,0,0,1
VCF,0,0,0,0,0
VCI,0,0,0,0,0
VCM,1,0,0,0,0
VCS,0,0,0,0,0
VDL,0,0,0,0,0
VDP,0,0,0,0,0
VDS,1,0,0,0,0
VE1,0,0,0,0,0
VE3,1,1,1,1,0
VE4,0,0,0,0,0
VGC,0,0,0,0,0
VGP,1,0,0,1,0
VGS,1,0,0,1,1
VHC,0,0,0,0,0
VHE,0,0,0,0,0
VHL,0,1,0,0,0
VHM,0,1,0,0,0
VIC,0,0,0,0,0
VID,0,0,0,0,0
VIG,0,0,0,0,0
VIP,0,0,0,0,0
VIT,1,0,1,0,0
VJC,0,0,0,0,0
VLA,0,0,0,0,0
VMC,1,0,0,1,0
VMD,1,0,1,1,0
VMS,0,0,0,0,0
VNC,0,0,0,0,0
VNF,1,0,0,1,0
VNG,0,0,0,0,0
VNL,0,0,0,0,0
VNM,0,0,0,0,0
VNR,1,0,0,1,0
VNS,0,0,0,0,0
VNT,1,0,0,1,0
VOS,0,0,0,0,0
VPB,0,0,0,0,0
VPD,0,0,0,0,0
VPG,1,0,0,0,0
VPH,0,1,0,0,0
VPI,0,1,0,0,0
VPS,0,0,0,0,0
VRC,0,0,0,0,0
VRE,0,0,0,0,0
VSA,0,0,0,0,0
VSC,0,0,0,0,0
VSH,0,0,0,0,0
VSI,0,0,0,0,0
VSM,0,0,0,0,0
VTB,1,0,0,0,0
VTC,1,0,0,0,0
VTH,0,0,0,0,0
VTJ,0,0,0,0,0
VTO,0,0,0,0,0
VTV,1,0,1,1,1
WCS,0,0,0,0,0
WSS,0,0,0,0,0
X20,1,0,1,0,0
YBM,1,0,0,0,0
YEG,0,0,0,0,0
