symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
CET,-1.2114375748063684,-0.876259634033432,-0.8195242503013926,-0.411730757488755,-0.6389692103337386,0,0,0,0,0,0,0,0,0,-2.0876972088398005,0,0
CHP,-0.5088612769234359,-0.8745263749519036,-0.8096870462169566,-0.4335833556365768,-0.4981671970493435,0,0,0,0,0,0,0,0,0,-1.3833876518753395,0,0
CIA,0.3135779619523753,-0.7952800032973095,-0.921040494182356,-0.1770182982277046,-0.6542878822875165,1,0,0,1,0,0,0,0,0,-0.4817020413449342,0,0
CIG,1.0346750663545414,1.027572493503003,0.4563499013447545,1.3415972361852497,-0.6366174306390114,1,1,1,1,0,1,0,1,1,2.0622475598575444,1,1
CII,0.6626223505588851,0.4631441582974021,0.1155120914065927,0.6009550684893183,-0.4670446283131577,1,1,1,1,0,1,0,1,1,1.1257665088562872,1,1
CJC,-0.5153189921602303,-0.8004300777938392,-0.8459061770062189,-0.3315189954893191,-0.6016805879466085,0,0,0,1,0,0,0,0,0,-1.3157490699540695,0,0
CKV,-0.8348232362151976,-0.9529598131967255,-0.910495437665995,-0.5235105799266302,-0.6484361861210616,0,0,0,0,0,0,0,0,0,-1.7877830494119231,0,0
CLC,-0.1801231815810037,0.6696664585252118,0.4970031373420669,0.3414301870686782,-0.3653126662959926,0,1,1,1,1,0,0,1,0,0.489543276944208,0,0
CLH,-0.3795994532164825,-0.7849721430762477,-0.8340713247427038,-0.2949329099898174,-0.5643622704556108,0,0,0,1,0,0,0,0,0,-1.1645715962927303,0,0
CLL,-0.7666586625207746,-0.6466024013745974,-0.7683192949021891,-0.0730206703296964,-0.6117783337063403,0,0,0,1,0,0,0,0,0,-1.413261063895372,0,0
CLM,-1.1578778871923874,-0.9047486536607392,-0.8971926489269355,-0.518673601067564,-0.6540415870757264,0,0,0,0,0,0,0,0,0,-2.0626265408531264,0,0
CLW,-0.7414932861768045,-0.9365413559197913,-0.8957592950569093,-0.5633408306402399,-0.6257379507628525,0,0,0,0,0,0,0,0,0,-1.6780346420965959,0,0
CMC,-1.5375420498528822,-1.129695866254013,-1.0477990453664797,-0.4375440915266865,-0.6556181768218376,0,0,0,0,0,0,0,0,0,-2.6672379161068954,0,0
CMG,-0.6640966279333705,-0.6752867507643422,-0.737585571401107,-0.1505408152574721,-0.6128837515217011,0,0,0,1,0,0,0,0,0,-1.3393833786977128,0,0
CMS,0.9289758106101784,-0.7483730544546809,-0.9000975627529732,-0.0848566312295015,-0.6497268139736069,1,0,0,1,0,0,0,0,1,0.1806027561554975,0,1
CMV,-0.2605227830995857,-0.4956374983752178,-0.5854730764734792,-0.2590664326963969,-0.5895460481095019,0,0,0,1,0,0,0,0,0,-0.7561602814748035,0,0
CMX,1.7059605837922866,0.8716926171542124,0.7306782105430887,0.488291593723547,-0.5582041053662317,1,1,1,1,0,1,0,1,1,2.577653200946499,1,1
CNG,-0.2280302701985426,-0.5179983176155285,-0.6394864269910303,-0.1729974977387506,-0.5020827414830702,0,0,0,1,0,0,0,0,0,-0.7460285878140711,0,0
COM,-0.7076729802341069,-0.7142970208980299,-0.805017157599603,-0.1495293143820934,-0.5860332765665272,0,0,0,1,0,0,0,0,0,-1.421970001132137,0,0
CPC,-1.0257224302583357,-0.6695325262544914,-0.7611998661253614,-0.1061455926981915,-0.6114148139405054,0,0,0,1,0,0,0,0,0,-1.695254956512827,0,0
CRC,-0.4138202980144527,-0.6521723644706514,-0.7389070652889122,-0.1193561087668407,-0.5656128204543765,0,0,0,1,0,0,0,0,0,-1.0659926624851041,0,0
CRE,1.748506484969541,1.8704928783448636,2.1648699165084165,0.1149646904463715,-0.6216108298070595,1,1,1,1,0,1,1,0,1,3.6189993633144046,1,1
CSC,-1.0848982660543436,-0.7850862367111499,-0.8835300317868637,-0.2249832227787674,-0.6452423106685355,0,0,0,1,0,0,0,0,0,-1.8699845027654935,0,0
CSM,0.3988705098089192,0.3357534922166327,0.3739286810914871,-0.0297818277661963,0.4819290130273713,1,1,1,1,1,1,0,0,0,0.7346240020255519,0,0
CSV,0.0765279488711851,-0.8484195655870151,-0.9035805739794206,-0.3629485696143404,-0.6264113286373735,1,0,0,1,0,0,0,0,0,-0.77189161671583,0,0
CTB,-0.8434327531383599,-0.815447483881932,-0.878463458072585,-0.3169086848782692,-0.5982101393956692,0,0,0,1,0,0,0,0,0,-1.658880237020292,0,0
CTD,-0.1193463913554415,0.2841753099357655,-0.0298235291165087,0.5164269766780188,-0.1468942014196702,0,1,1,1,1,0,0,1,0,0.164828918580324,0,0
CTF,0.6159815360601141,0.398227093900958,0.3692667089275269,0.207248412534121,-0.575425687915492,1,1,1,1,0,1,0,0,0,1.014208629961072,1,0
CTG,0.8284992039335264,-0.5534606332353558,-0.8904332906379013,0.1476073284097609,-0.6487938183774596,1,0,0,1,0,0,0,0,1,0.2750385706981706,0,1
CTI,0.6322671039119946,0.7091253287223986,0.464569630410917,0.4571416739358692,-0.5945233544623534,1,1,1,1,0,1,0,1,1,1.3413924326343932,1,1
CTP,-0.9005244273462705,-0.755413901919751,-0.871651791429082,-0.2568841525557811,-0.6440583378075366,0,0,0,1,0,0,0,0,0,-1.6559383292660214,0,0
CTS,-0.6655127610570956,-0.7993102767293796,-0.8961805398378435,-0.2698157292160463,-0.6388884589087166,0,0,0,1,0,0,0,0,0,-1.4648230377864752,0,0
CTT,-0.714602555756053,-0.5455243629318619,-0.792123972708527,0.1517425080395129,-0.6220285507195884,0,0,0,1,0,0,0,0,0,-1.2601269186879149,0,0
CVT,-0.3527694221385606,0.2128219886914573,-0.0008032435316623,0.3597044161498556,-0.4226300902640627,0,1,1,1,1,0,0,1,0,-0.1399474334471033,0,0
CX8,-0.7491697786535767,-0.8494119499138205,-0.9138370173143001,-0.3085920862137981,-0.651976642030244,0,0,0,1,0,0,0,0,0,-1.5985817285673973,0,0
