symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
CPC,8,0.4241705690501887,0.5759997768790923,0.10667258500880031,0.05243455590487052,0,1,0,0,0
CRC,8,0.4321875213775827,0.5262298927307636,0.09853939354973269,0.05251143776094118,0,1,0,0,0
CRE,7,0.3319635323364616,0.5815247683185836,0.06066813880395632,0.23583014198397934,0,1,0,0,0
CSC,8,0.4670224068033034,0.3721648641739783,0.0666322738771925,0.02598984741890884,0,0,0,0,0
CSM,8,0.5402645462111242,0.4251020860184024,0.4268179689602195,0.005710665506444725,1,0,0,1,1
CSV,8,0.200074898911769,0.3420343797891874,0.05677536034401348,0.20231974566476923,0,0,0,0,0
CTB,8,0.5663598791126903,0.4388868060507975,0.1218144691961398,0.0590094936974584,1,1,1,0,0
CTD,8,0.472708562579954,0.31511804019533624,0.04903722330055631,0.050891090648871026,1,0,0,0,0
CTF,8,0.6535062371913412,0.6256894161329529,0.10739456672426356,-0.001136604404709341,1,1,1,1,0
CTI,8,0.1406934313578969,0.051187150928997685,0.5888084429551812,0.16327153234760883,0,0,0,0,0
CTP,8,0.2473246334000282,0.4567379943923301,0.27943740779042986,-0.05601708174542912,0,1,0,0,0
CTS,8,0.38787682661052986,0.010604203129060009,0.02851010226337037,,0,0,0,0,0
CTT,8,0.8573137113231379,0.2383264162616555,0.3130923934489729,0.005629680196344538,1,0,0,1,1
CVT,8,0.43318232351479175,0.2877602767597124,0.48119988492096877,0.1309513987881762,0,0,0,0,0
CX8,8,0.7214990084010309,0.8416628101229378,0.010816138857923634,0.006865646871981209,1,1,1,1,0
D11,8,0.6382830942634534,0.7532372343460643,0.006100553389138179,0.06716239884401705,1,1,1,0,0
D2D,8,0.3169579558753148,0.20533183879475164,0.00303456643587797,0.5256276076139896,0,0,0,0,0
DAD,8,0.2748729851642504,0.3733531012384316,0.16965540030527515,0.037188843198013424,0,0,0,0,0
DAE,8,0.22088229170801424,0.498975842652632,0.0800601500843361,0.08556532083441093,0,1,0,0,0
DAH,8,0.18628451359112091,0.11149795724783997,0.7742030040698535,0.020615288352307276,0,0,0,0,0
DAT,8,0.4885717812932703,0.28604548202374847,0.24240217750266513,0.028624042382079405,1,0,0,0,0
DBC,8,0.4863196904350907,0.26567350699069736,0.37225705969373585,0.035058853391441706,1,0,0,0,1
DBD,8,0.32466442884107727,0.38971140995078835,0.14982915020755358,0.14454161121781262,0,0,0,0,0
DC2,8,0.6864443833953122,0.5242561075448715,0.10470591131972695,0.005409943208756723,1,1,1,1,0
DCL,8,0.19405278750717503,0.2731626631225242,0.2481542156645184,0.023723724043268613,0,0,0,0,0
DCM,8,0.2866521537111427,0.07368758854570046,0.5293476654289068,0.06896851784713087,0,0,0,0,0
DGW,8,0.5605797820266923,0.6956113713068989,0.04283040363322071,0.023911264879275803,1,1,1,1,0
DHA,8,0.06678648853240682,0.15383198576820462,0.2087426691446827,0.2749549211033258,0,0,0,0,0
DHC,8,0.2326211459948664,0.2167094125522634,0.09068462824706475,0.1359122075350657,0,0,0,0,0
DHG,8,0.26958344837497505,0.3046546513556754,0.23323383543373089,0.16392649212114366,0,0,0,0,0
DHM,8,0.3835691318866807,0.33693406757508254,0.16409828140126376,0.014086280048920197,0,0,0,0,0
DHP,8,0.22956479629814625,0.4915980954360527,0.3213514756953175,0.046336685529736354,0,1,0,0,0
DHT,8,0.5454777695325161,0.6732202593483789,0.10248080081077156,0.05741700602067343,1,1,1,0,0
DIG,8,0.4008293774442785,0.6970827305558858,0.04194109205311339,0.12423271082952905,0,1,0,0,0
DIH,8,0.7220507320912306,0.7047568988586557,0.014942625864564416,0.000263494992259242,1,1,1,1,0
DL1,8,0.13527344958125692,0.6959775716563281,0.008910215015174139,0.1467173165408785,0,1,0,0,0
DLG,8,0.2794849705214534,0.3637293178510925,0.3274664236929773,0.02853792427628165,0,0,0,0,0
DMC,8,0.18515065861033364,0.46084599739100285,0.14012120472700523,0.1875102504125276,0,1,0,0,0
DNC,8,0.3621144521153573,0.2695265624994818,0.3542349247002784,0.05671513490138641,0,0,0,0,0
DNP,8,0.27131919005078287,0.1775356987415823,0.37900415919584757,0.010711611070829366,0,0,0,0,0
DP3,8,0.2153714328720494,0.2517096144122158,0.27781218931292173,0.22989104225137752,0,0,0,0,0
DPG,8,0.35176572481450274,0.2082995066749375,0.4783667847451839,0.10377872577106745,0,0,0,0,0
