group,event_q,term,beta,se,p,q_fdr_event
DoubleExposure_TopTercile,8,lag_8,-0.012446587422405156,0.008374215270852234,0.13722457889158735,0.33716655764518744
DoubleExposure_TopTercile,9,lag_9,-0.028700985149174452,0.006064409712112191,2.2392187402076047e-06,1.5147656183757325e-05
DoubleExposure_TopTercile,10,lag_10,0.014047290788137476,0.009464989650254864,0.13779850616803313,0.33716655764518744
DoubleExposure_TopTercile,11,lag_11,-0.01225457950336567,,,1.0
DoubleExposure_TopTercile,12,lag_12,-0.03443862063123334,0.0021240785355679803,0.0,0.0
DoubleExposure_TopTercile,13,lag_13,-0.0008365018146770382,,,1.0
DoubleExposure_TopTercile,14,lag_14,-0.006128140185120549,,,1.0
DoubleExposure_TopTercile,15,lag_15,-0.02737899853164845,,,1.0
FragileLowMarginFunding,-8,lead_m8,-0.0196924393080718,0.0029853642862191455,4.379674400922795e-11,5.596250623401349e-10
FragileLowMarginFunding,-7,lead_m7,-0.018365438362509003,,,1.0
FragileLowMarginFunding,-6,lead_m6,-0.010741413110690127,0.005685965298174907,0.05889958930784278,0.169336319260048
FragileLowMarginFunding,-5,lead_m5,-0.016482648336022157,0.007026278680310406,0.018998472076881656,0.06827575902629346
FragileLowMarginFunding,-4,lead_m4,-0.012830448190593738,0.01266927226312503,0.3112121175038258,0.7017528139792151
FragileLowMarginFunding,-3,lead_m3,-0.02549850031512377,,,1.0
FragileLowMarginFunding,-2,lead_m2,-0.01090512630984046,0.012443099725037859,0.3808292642995932,0.811025285082467
FragileLowMarginFunding,0,lag_0,-0.04175861629516243,0.008447996682435349,7.789121352352879e-07,5.97165970347054e-06
FragileLowMarginFunding,1,lag_1,-0.027764042015017063,0.005854748702750434,2.1374223384551527e-06,1.5147656183757325e-05
FragileLowMarginFunding,2,lag_2,-0.040041243409293076,0.0047272417659849335,0.0,0.0
FragileLowMarginFunding,3,lag_3,-0.00891417176830476,,,1.0
FragileLowMarginFunding,4,lag_4,-0.021893958436807793,,,1.0
FragileLowMarginFunding,5,lag_5,-0.012286884466987863,0.0068923673706018694,0.07466201700957775,0.20941785258784004
FragileLowMarginFunding,6,lag_6,-0.021410338892915336,,,1.0
FragileLowMarginFunding,7,lag_7,-0.01312494559263756,,,1.0
FragileLowMarginFunding,8,lag_8,-0.04489288839477635,0.006583945183220828,9.60809209971103e-12,1.578472273523955e-10
FragileLowMarginFunding,9,lag_9,-0.028661265815666512,0.009537438887409287,0.0026597711285698544,0.010924059992340474
FragileLowMarginFunding,10,lag_10,0.0006981879905577,,,1.0
FragileLowMarginFunding,11,lag_11,0.0005116266926800358,,,1.0
FragileLowMarginFunding,12,lag_12,-0.05018008579570109,0.004507945927936133,0.0,0.0
FragileLowMarginFunding,13,lag_13,-0.019011730543404784,,,1.0
FragileLowMarginFunding,14,lag_14,-0.017444639632316853,,,1.0
FragileLowMarginFunding,15,lag_15,-0.03441371290850083,,,1.0
AssetCommitmentMismatch,-8,lead_m8,-0.018729476488572087,0.010681651668804491,0.07955288428416551,0.2178233736352151
AssetCommitmentMismatch,-7,lead_m7,-0.020991398377811565,,,1.0
AssetCommitmentMismatch,-6,lead_m6,-0.03335027546519263,0.004979162049669209,2.201283599845283e-11,3.164345174777594e-10
AssetCommitmentMismatch,-5,lead_m5,-0.02201277149293556,,,1.0
AssetCommitmentMismatch,-4,lead_m4,-0.02342119911137084,0.01109727666494399,0.03483149211222303,0.11110856158859646
AssetCommitmentMismatch,-3,lead_m3,-0.00974955453217049,,,1.0
AssetCommitmentMismatch,-2,lead_m2,-0.02151597350218567,0.006174904512642817,0.0004948434428995174,0.0022762798373377803
AssetCommitmentMismatch,0,lag_0,-0.04497319182554609,0.007685184936255943,4.9772965748928755e-09,4.088493615090576e-08
AssetCommitmentMismatch,1,lag_1,-0.01733756817268906,,,1.0
AssetCommitmentMismatch,2,lag_2,-0.013248907988230849,0.005959507136917256,0.026222665749008778,0.08616018746102885
AssetCommitmentMismatch,3,lag_3,-0.023910928865403754,,,1.0
AssetCommitmentMismatch,4,lag_4,-0.02852854720496113,0.0067780721144489985,2.583064479177999e-05,0.00014852620755273493
AssetCommitmentMismatch,5,lag_5,-0.01647526729488887,,,1.0
AssetCommitmentMismatch,6,lag_6,-0.014300887704522978,0.004331795372578932,0.0009647379774984088,0.004267110285089116
AssetCommitmentMismatch,7,lag_7,-0.024800033102151488,,,1.0
AssetCommitmentMismatch,8,lag_8,-0.043291277586241954,0.006991231656954517,6.11274586503896e-10,5.858048120662336e-09
AssetCommitmentMismatch,9,lag_9,-0.00105792413333031,,,1.0
AssetCommitmentMismatch,10,lag_10,0.0009497765424061354,,,1.0
AssetCommitmentMismatch,11,lag_11,0.007218155501774184,,,1.0
AssetCommitmentMismatch,12,lag_12,-0.03662266413783048,0.005835547653810426,3.590379105133934e-10,4.128935970904024e-09
AssetCommitmentMismatch,13,lag_13,-0.007875160405843417,,,1.0
AssetCommitmentMismatch,14,lag_14,-0.01974149761089617,,,1.0
AssetCommitmentMismatch,15,lag_15,-0.0003663651394079261,,,1.0
