shock,event_date,trade_date,horizon,group,treated_car,control_car,diff,p,n_t,n_c
THREATS_z,2024-01-08,2024-01-08,pre5,HighLiab_TopTercile,0.012357090231446313,0.0076308992704784105,0.004726190960967902,0.39003979025092694,99,219
THREATS_z,2024-01-08,2024-01-08,pre5,CashConversionTrap,-0.00018981667929581642,0.010141933590508474,-0.01033175026980429,0.1902982345862385,32,286
THREATS_z,2024-01-08,2024-01-08,pre5,DoubleExposure_TopTercile,0.017282374389002774,0.007576119976484396,0.009706254412518378,0.22363925115287286,50,268
THREATS_z,2024-01-08,2024-01-08,pre5,FragileLowMarginFunding,0.013664971417768583,0.008537967750975465,0.005127003666793119,0.3538495526535324,35,283
THREATS_z,2024-01-08,2024-01-08,pre5,AssetCommitmentMismatch,0.006641333400233009,0.009377609106085667,-0.0027362757058526574,0.575480087957456,32,286
THREATS_z,2024-05-26,2024-05-27,post1,HighLiab_TopTercile,0.0020696711397121706,0.005615771034008605,-0.0035460998942964347,0.33534875137966874,92,207
THREATS_z,2024-05-26,2024-05-27,post1,CashConversionTrap,-0.0020958316253770507,0.005290466900298468,-0.007386298525675519,0.18495078559589195,31,268
THREATS_z,2024-05-26,2024-05-27,post1,DoubleExposure_TopTercile,0.0023253700772494033,0.004934849028819758,-0.0026094789515703548,0.61060564257812,47,252
THREATS_z,2024-05-26,2024-05-27,post1,FragileLowMarginFunding,0.006557101364468951,0.004281075300487994,0.0022760260639809564,0.7155451516439034,32,267
THREATS_z,2024-05-26,2024-05-27,post1,AssetCommitmentMismatch,0.00586581203195012,0.004369530507100176,0.0014962815248499442,0.7431357278845641,31,268
THREATS_z,2024-05-26,2024-05-27,post5,HighLiab_TopTercile,0.012666292071561315,0.01216708527462025,0.0004992067969410655,0.9425219844360765,101,218
THREATS_z,2024-05-26,2024-05-27,post5,CashConversionTrap,0.01628611275452525,0.011868106182502006,0.004418006572023243,0.6806754585104391,33,286
THREATS_z,2024-05-26,2024-05-27,post5,DoubleExposure_TopTercile,0.008399936498123347,0.013089600716076753,-0.004689664217953407,0.6258717055764106,52,267
THREATS_z,2024-05-26,2024-05-27,post5,FragileLowMarginFunding,0.014208869348177104,0.012092991767284185,0.0021158775808929192,0.8653584759448124,35,284
THREATS_z,2024-05-26,2024-05-27,post5,AssetCommitmentMismatch,0.017364406681280628,0.01176327203935166,0.005601134641928967,0.4692597454547212,32,287
THREATS_z,2024-05-26,2024-05-27,post20,HighLiab_TopTercile,0.050682801735759335,0.03951725050836589,0.011165551227393447,0.35126154690107453,102,222
THREATS_z,2024-05-26,2024-05-27,post20,CashConversionTrap,0.01873891802098853,0.04578725462272186,-0.02704833660173333,0.15549077770718484,33,291
THREATS_z,2024-05-26,2024-05-27,post20,DoubleExposure_TopTercile,0.03386206829863579,0.04478546999402802,-0.01092340169539223,0.48080212905225544,52,272
THREATS_z,2024-05-26,2024-05-27,post20,FragileLowMarginFunding,0.05394157051949692,0.04166867656667636,0.012272893952820559,0.42385915307180916,36,288
THREATS_z,2024-05-26,2024-05-27,post20,AssetCommitmentMismatch,0.05529625354973057,0.04168833998737433,0.013607913562356237,0.36818497435378966,32,292
THREATS_z,2024-05-26,2024-05-27,pre5,HighLiab_TopTercile,0.020573704970864304,0.008869520699447013,0.01170418427141729,0.1653756702607196,100,218
THREATS_z,2024-05-26,2024-05-27,pre5,CashConversionTrap,0.01768533584089856,0.011955473427425358,0.005729862413473201,0.7367311922106893,33,285
THREATS_z,2024-05-26,2024-05-27,pre5,DoubleExposure_TopTercile,0.023586275974167834,0.010442044699937527,0.013144231274230306,0.2984536133679382,51,267
THREATS_z,2024-05-26,2024-05-27,pre5,FragileLowMarginFunding,0.006810471586578235,0.013237218224021899,-0.0064267466374436635,0.5215887143365497,34,284
THREATS_z,2024-05-26,2024-05-27,pre5,AssetCommitmentMismatch,0.03595260471683129,0.009931617687507966,0.026020987029323324,0.1604863360583597,32,286
THREATS_z,2023-07-10,2023-07-10,post1,HighLiab_TopTercile,0.001012696727629209,0.003149276061903919,-0.00213657933427471,0.5132101404146221,95,208
